name,industry,description,target_age,target_gender,target_interests,content_themes
Zara,Fashion & Retail,"Global fast-fashion leader, trendy clothing for all demographics, affordable luxury, quick trend adoption",18-45,Mixed,"Fashion,Shopping,Trends,Style","Style inspiration,Seasonal trends,Affordable luxury,Fashion-forward looks"
Mango,Fashion & Retail,"Spanish fashion retailer, modern feminine style, quality basics and trend pieces, international presence",20-40,Female,"Fashion,Shopping,Lifestyle","Contemporary style,Feminine elegance,Seasonal collections,Versatile wardrobe"
Bershka,Fashion & Retail,"Youth-focused fashion brand, street style and urban trends, music and social media integration",16-28,Mixed,"Fashion,Music,Social Media,Trends","Street style,Youth culture,Urban fashion,Music festivals"
Pull & Bear,Fashion & Retail,"Casual street-style clothing, young and relaxed aesthetic, international trends",16-30,Mixed,"Fashion,Casual wear,Street style","Relaxed vibes,Everyday style,Youth trends,Comfort"
Stradivarius,Fashion & Retail,"Women's fashion with feminine and trendy designs, young demographic focus",18-30,Female,"Fashion,Beauty,Social media","Feminine style,Youth trends,Self-expression,Fashion confidence"
Massimo Dutti,Fashion & Retail,"Premium fashion with sophisticated elegance, tailored pieces, quality materials, professional style",28-50,Mixed,"Fashion,Business,Quality,Sophistication","Timeless elegance,Professional style,Quality craftsmanship,Urban sophistication"
Oysho,Fashion & Retail,"Lingerie, sleepwear, and activewear brand, comfort and style, wellness focus",20-45,Female,"Fashion,Fitness,Wellness,Comfort","Active lifestyle,Comfort,Wellness,Intimate apparel"
Desigual,Fashion & Retail,"Colorful and unique designs, artistic patterns, Mediterranean inspiration, bold fashion statements",25-50,Mixed,"Fashion,Art,Creativity,Culture","Bold colors,Artistic expression,Mediterranean vibes,Unique style"
H&M,Fashion & Retail,"International fast-fashion chain, affordable trendy clothing, sustainability initiatives",16-40,Mixed,"Fashion,Shopping,Sustainability","Affordable fashion,Trend-driven,Conscious collections,Global style"
Primark,Fashion & Retail,"Ultra-affordable fashion and home goods, budget-conscious shoppers, family-oriented",18-50,Mixed,"Fashion,Shopping,Budget,Family","Value fashion,Family shopping,Budget style,Essentials"
C&A,Fashion & Retail,"Family-focused fashion retailer, affordable basics and trends, multi-generational appeal",All ages,Mixed,"Fashion,Family,Value","Family fashion,Affordable quality,Everyday wear,Sustainable options"
El Corte Inglés,Retail & Department Store,"Premium department store chain, luxury and mid-range products, Spanish retail institution, comprehensive shopping experience",25-65,Mixed,"Shopping,Luxury,Lifestyle,Quality","Premium shopping,Gourmet products,Lifestyle,Spanish culture"
Mercadona,Food & Grocery,"Leading Spanish supermarket chain, private label focus, quality at low prices, customer-centric",25-70,Mixed,"Grocery,Value,Quality,Family","Fresh products,Value pricing,Spanish brands,Family meals"
Carrefour,Food & Grocery,"International hypermarket chain, wide product range, competitive pricing, convenience",25-65,Mixed,"Grocery,Shopping,Convenience","Value shopping,Fresh produce,International products,Family groceries"
Lidl,Food & Grocery,"German discount supermarket, quality at low prices, limited assortment model",25-65,Mixed,"Grocery,Value,Budget","Discount shopping,Quality basics,Weekly deals,Budget-friendly"
DIA,Food & Grocery,"Neighborhood supermarket chain, convenience-focused, proximity stores, value pricing",30-70,Mixed,"Grocery,Convenience,Value","Local shopping,Quick stops,Everyday essentials,Value"
Eroski,Food & Grocery,"Basque cooperative supermarket chain, fresh products focus, regional presence",30-65,Mixed,"Grocery,Local products,Freshness","Fresh products,Regional specialties,Cooperative values,Sustainability"
Aldi,Food & Grocery,"German discount supermarket, private label focus, efficiency-driven, quality at low prices",25-65,Mixed,"Grocery,Value,Efficiency","Smart shopping,Quality basics,Budget-conscious,Weekly specials"
Consum,Food & Grocery,"Regional supermarket cooperative, Eastern Spain focus, community-oriented, fresh products",30-65,Mixed,"Grocery,Community,Local products","Local sourcing,Fresh products,Cooperative model,Community values"
Decathlon,Sports & Fitness,"French sporting goods retailer, affordable sports equipment, all sports coverage, innovation-focused",16-55,Mixed,"Sports,Fitness,Outdoor,Active lifestyle","Sports innovation,Affordable gear,Active living,Outdoor adventures"
Nike,Sports & Fitness,"Global athletic brand, performance and lifestyle products, innovation-driven, sports culture leader",16-45,Mixed,"Sports,Fitness,Fashion,Performance","Athletic performance,Sports motivation,Innovation,Street style"
Adidas,Sports & Fitness,"German athletic brand, sports performance and lifestyle, heritage brand, fashion collaborations",16-45,Mixed,"Sports,Fitness,Fashion,Lifestyle","Athletic excellence,Street culture,Performance innovation,Sports lifestyle"
